sample_id,doc_id,sentence,institution,title,sector_raw,actor_type,url,amr_penman
s023,52,Organisations need to identify what fairness objectives they want to achieve and how they plan to do this.,Centre for Data Ethics and Innovation,Review into Bias in Algorithmic Decision-making,national authority,autorite nationale,https://assets.publishing.service.gov.uk/media/60142096d3bf7f70ba377b20/Review_into_bias_in_algorithmic_decision-making.pdf,"# ::id s023
# ::doc_id 52
# ::snt Organisations need to identify what fairness objectives they want to achieve and how they plan to do this.
(n / need-01
   :ARG0 (o / organization)
   :ARG1 (ii / identify-01
             :ARG0 o
             :ARG1 (a / and
                      :op1 (o2 / objective
                               :topic (f / fair-01)
                               :ARG1-of (a2 / achieve-01
                                            :ARG0 o
                                            :ARG1-of (w / want-01
                                                        :ARG0 o)))
                      :op2 (t / thing
                              :manner-of (p / plan-01
                                            :ARG0 o
                                            :ARG1 a2)))))"
s024,256,"In this article Fairness Transparency and Intelligibility Reliability and Safety Human-AI Interaction and Collaboration Private AI Partnerships and Support for Student Work Cited publications Azure AI Foundry Labs Get a glimpse of potential future directions for AI, with these experimental technologies from Microsoft Research.",Microsoft,Research Collection: Research Supporting Responsible AI,private sector,secteur prive,https://www.microsoft.com/en-us/research/blog/research-collection-research-supporting-responsible-ai/,"# ::id s024
# ::doc_id 256
# ::snt In this article Fairness Transparency and Intelligibility Reliability and Safety Human-AI Interaction and Collaboration Private AI Partnerships and Support for Student Work Cited publications Azure AI Foundry Labs Get a glimpse of potential future directions for AI, with these experimental technologies from Microsoft Research.
(m / multi-sentence
   :snt1 (a / and
            :op1 (a2 / and
                     :op1 (t / transparency
                             :mod (f / fairness))
                     :op2 (r / reliability
                             :mod (ii / intelligent-01))
                     :op3 (s / safe-01)
                     :op4 (ii2 / interact-01
                               :ARG0 (h / human)
                               :ARG2 (ii3 / intelligent-01
                                          :mod (a3 / artificial)))
                     :op5 (c / collaborate-01
                             :mod ii3)
                     :op6 (p / partner-01
                             :mod ii3
                             :ARG1-of (p2 / private-03))
                     :op7 (s2 / support-01
                              :ARG1 (w / work-01
                                       :ARG0 (p3 / person
                                                 :ARG0-of (s3 / study-01))))
                     :location (a4 / article
                                   :mod (t2 / this)))
            :op2 (p4 / publication
                     :ARG1-of (c2 / cite-01)
                     :source (c3 / company
                                 :name (n / name
                                          :op1 ""Azure""
                                          :op2 ""AI""
                                          :op3 ""Foundry""
                                          :op4 ""Labs""))))
   :snt2 (g / get-01
            :ARG0 (y / you)
            :ARG1 (g2 / glimpse-01
                      :ARG0 y
                      :ARG1 (d / direction
                               :mod (f2 / future)
                               :mod ii3
                               :mod (p5 / potential))
                      :instrument (t3 / technology
                                      :ARG1-of (e / experiment-01)
                                      :source (c4 / company
                                                  :name (n2 / name
                                                            :op1 ""Microsoft""
                                                            :op2 ""Research""))
                                      :mod (t4 / this)))))"
s025,143,Fairness and Abstraction in Sociotechnical Systems.,"European Commission (Joint Research Centre, AI Watch)",Artificial Intelligence in public services - Overview of the use and impact of AI in public services in the EU,international organisation > EU institution,organisation internationale,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC120399/jrc120399_misuraca-ai-watch_public-services_30062020_def.pdf,"# ::id s025
# ::doc_id 143
# ::snt Fairness and Abstraction in Sociotechnical Systems.
(a / and
   :op1 (f / fairness)
   :op2 (a2 / abstain-01)
   :location (s / system
                :mod (s2 / society)))"
s026,19,"Similar to our discussion of fairness and bias in the 2018 AI Now report,​ 490​ any debate about vulnerabilities should approach issues of power and hierarchy, looking at who is in a position to produce and profit from these systems, who determines how vulnerabilities are accounted for and addressed, and who is most likely to be harmed.",AI Now Institute,AI Now 2019 Report,civil society > NGO,societe civile,https://ainowinstitute.org/wp-content/uploads/2023/04/AI_Now_2019_Report.pdf,"# ::id s026
# ::doc_id 19
# ::snt Similar to our discussion of fairness and bias in the 2018 AI Now report,​ 490​ any debate about vulnerabilities should approach issues of power and hierarchy, looking at who is in a position to produce and profit from these systems, who determines how vulnerabilities are accounted for and addressed, and who is most likely to be harmed.
(r / recommend-01
   :ARG1 (a / approach-02
            :ARG0 (d / debate-01
                     :ARG1 (v / vulnerable-01)
                     :mod (a2 / any))
            :ARG1 (ii / issue-02
                      :ARG0 (a3 / and
                                :op1 (p / power)
                                :op2 (h / hierarchy)))
            :manner (l / look-01
                       :ARG0 d
                       :ARG1 (a4 / and
                                 :op1 (p2 / person
                                          :ARG1-of (p3 / position-02
                                                       :ARG2 (a5 / and
                                                                 :op1 (p4 / produce-01
                                                                          :ARG0 p2
                                                                          :ARG1 (s / system
                                                                                   :mod (t / this)))
                                                                 :op2 (p5 / profit-01
                                                                          :ARG0 p2
                                                                          :ARG1 s))))
                                 :op2 (p6 / person
                                          :ARG0-of (d2 / determine-01
                                                       :ARG1 (a6 / and
                                                                 :op1 (a7 / account-01
                                                                          :ARG1 (v2 / vulnerable-01))
                                                                 :op2 (a8 / address-02
                                                                          :ARG1 v2))))
                                 :op3 (p7 / person
                                          :ARG1-of (h2 / harm-01
                                                       :ARG1-of (l2 / likely-01
                                                                    :ARG2-of (h3 / have-degree-91
                                                                                 :ARG1 h2
                                                                                 :ARG3 (m / most))))))))
   :ARG1-of (r2 / resemble-01
                :ARG2 (d3 / discuss-01
                          :ARG0 (w / we)
                          :ARG1 (a9 / and
                                    :op1 (f / fairness)
                                    :op2 (b / bias-01))
                          :medium (r3 / report
                                      :name (n / name
                                               :op1 ""AI""
                                               :op2 ""Now"")
                                      :time (d4 / date-entity
                                                :year 2018)))))"
s027,148,"Overall, new rules and regulations should aim to ensure explainability, transparency, fairness, trust, verifiability , safety and security against attacks.","European Commission (Joint Research Centre, AI Watch)","National strategies on Artificial Intelligence: A European perspective, 2021 edition",international organisation > EU institution,organisation internationale,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC122684/ai_watch_report_national_ai_strategies.pdf,"# ::id s027
# ::doc_id 148
# ::snt Overall, new rules and regulations should aim to ensure explainability, transparency, fairness, trust, verifiability , safety and security against attacks.
(r / recommend-01
   :ARG1 (a / aim-01
            :ARG0 (a2 / and
                      :op1 (r2 / rule-01)
                      :op2 (r3 / regulate-01)
                      :ARG1-of (n / new-01))
            :ARG1 (e / ensure-01
                     :ARG0 a2
                     :ARG1 (a3 / and
                               :op1 (p / possible-01
                                       :ARG1 (e2 / explain-01))
                               :op2 (t / transparency)
                               :op3 (f / fairness)
                               :op4 (t2 / trust-01)
                               :op5 (p2 / possible-01
                                        :polarity -
                                        :ARG1 (v / verify-01))
                               :op6 (s / safe-01)
                               :op7 (s2 / security)
                               :prep-against (a4 / attack-01))))
   :mod (o / overall))"
s028,207,"human agency and oversight; technical robustness and safety; privacy and data governance; transparency; diversity, nondiscrimination and fairness; societal and environmental well-being; accountability.",Fundamental Rights Agency (FRA),Getting the future right – Artificial intelligence and fundamental rights,international organisation > other,organisation internationale,https://fra.europa.eu/sites/default/files/fra_uploads/fra-2020-artificial-intelligence_en.pdf,"# ::id s028
# ::doc_id 207
# ::snt human agency and oversight; technical robustness and safety; privacy and data governance; transparency; diversity, nondiscrimination and fairness; societal and environmental well-being; accountability.
(a / and
   :op1 (a2 / and
            :op1 (a3 / agency
                     :mod (h / human))
            :op2 (o / oversee-01
                    :ARG1 h))
   :op2 (a4 / and
            :op1 (r / robustness
                    :mod (t / technical))
            :op2 (s / safe-01))
   :op3 (a5 / and
            :op1 (p / privacy)
            :op2 (g / govern-01
                    :ARG1 (d / data)))
   :op4 (t2 / transparency)
   :op5 (a6 / and
            :op1 (d2 / diversity)
            :op2 (d3 / discriminate-02
                     :polarity -)
            :op3 (f / fair-01))
   :op6 (a7 / and
            :op1 (w / well-09
                    :ARG1 (s2 / society))
            :op2 (w2 / well-09
                     :ARG1 (e / environment)))
   :op7 (a8 / accountable-02))"
s029,160,"Benefits to Vendors AIAs would also benefit vendors that prioritise fairness, accountability, and transparency in their offerings.",European Parliament,A governance framework for algorithmic accountability and transparency,international organisation > EU institution,organisation internationale,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,"# ::id s029
# ::doc_id 160
# ::snt Benefits to Vendors AIAs would also benefit vendors that prioritise fairness, accountability, and transparency in their offerings.
(b / benefit-01
   :ARG0 (b2 / benefit-01
             :ARG1 (c / company
                      :ARG0-of (v / vend-01)
                      :mod (a / artificial)))
   :ARG1 (c2 / company
             :ARG0-of (v2 / vend-01)
             :ARG0-of (p / prioritize-01
                         :ARG1 (a2 / and
                                   :op1 (f / fairness)
                                   :op2 (a3 / accountable-02)
                                   :op3 (t / transparency))
                         :location (o / offer-01
                                      :ARG0 c2)))
   :mod (a4 / also))"
s030,160,So once again these subjec tivities invoke different understandings of fairness.,European Parliament,A governance framework for algorithmic accountability and transparency,international organisation > EU institution,organisation internationale,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,"# ::id s030
# ::doc_id 160
# ::snt So once again these subjec tivities invoke different understandings of fairness.
(ii / invoke-01
    :ARG0 (t / tactic
             :mod (s / subjec)
             :mod (t2 / this))
    :ARG1 (u / understand-01
             :ARG1 (f / fairness)
             :ARG1-of (d / differ-02))
    :mod (a / again
            :mod (o / once)))"
s031,69,"Quite apart from the question of data processing and profiling,214 these solutions can also adversely affect the principle of presumption of innocence ,215 procedural fairness , and the right to non- discrimination .216 While non -discrimination issues could be partially addressed, the remaining conflicts seem to be more difficult to resolve.",Council of Europe (CAHAI),Towards regulation of AI Systems,international organisation > IGO,organisation internationale,https://rm.coe.int/prems-107320-gbr-2018-compli-cahai-couv-texte-a4-bat-web/1680a0c17a,"# ::id s031
# ::doc_id 69
# ::snt Quite apart from the question of data processing and profiling,214 these solutions can also adversely affect the principle of presumption of innocence ,215 procedural fairness , and the right to non- discrimination .216 While non -discrimination issues could be partially addressed, the remaining conflicts seem to be more difficult to resolve.
(m / multi-sentence
   :li 216
   :snt1 (p / possible-01
            :ARG1 (a / affect-01
                     :ARG0 (s / solve-01
                              :mod (t / this))
                     :ARG1 (a2 / and
                               :op1 (p2 / principle
                                        :topic (p3 / presume-01
                                                   :ARG1 (ii / innocent-01)))
                               :op2 (f / fairness
                                       :mod (p4 / procedure))
                               :op3 (r / right-05
                                       :ARG2 (d / discriminate-02
                                                :polarity -)))
                     :mod (a3 / also)
                     :manner (a4 / adverse))
            :concession (a5 / and
                            :op1 (q / question-01
                                    :ARG1 (p5 / process-01
                                              :ARG1 (d2 / data)))
                            :op2 (p6 / profile-01)
                            :mod (q2 / quite)))
   :snt2 (s2 / seem-01
             :ARG1 (h / have-degree-91
                      :ARG1 (r2 / resolve-01
                                :ARG1 (c / conflict-01
                                         :ARG1-of (r3 / remain-01)))
                      :ARG2 (d3 / difficult)
                      :ARG3 (m2 / more)))
   :snt3 (p7 / possible-01
             :ARG1 (a6 / address-02
                       :ARG1 (ii2 / issue-02
                                  :ARG0 (d4 / discriminate-02
                                            :polarity -))
                       :degree (p8 / part))))"
s032,269,"A series of stra tegic themes, which will be touched on throughout the report, has to do with ethics and the validation and certification of AI technologies, the aim being confidence on the part of all stakeholders in their results: from validation in terms of theoretical proof to explicability, transparency, causality and fairness.",Mission Villani,For a meaningful Artificial Intelligence. Towards a French and European strategy,national authority,autorite nationale,https://www.jaist.ac.jp/~bao/AI/OtherAIstrategies/MissionVillani_Report_ENG-VF.pdf,"# ::id s032
# ::doc_id 269
# ::snt A series of stra tegic themes, which will be touched on throughout the report, has to do with ethics and the validation and certification of AI technologies, the aim being confidence on the part of all stakeholders in their results: from validation in terms of theoretical proof to explicability, transparency, causality and fairness.
(h / have-to-do-with-04
   :ARG0 (s / series
            :consist-of (t / theme
                           :mod (s2 / strait-tegic)
                           :ARG1-of (t2 / touch-on-04
                                        :time (t3 / throughout
                                                  :op1 (r / report)))))
   :ARG1 (a / and
            :op1 (e / ethics)
            :op2 (a2 / and
                     :op1 (v / validate-01
                             :ARG1 (t4 / technology
                                       :mod (a3 / artificial)))
                     :op2 (c / certify-01
                             :ARG1 t4)
                     :ARG1-of (a4 / aim-01
                                  :ARG2 (c2 / confident-01
                                            :ARG1 (s3 / stake-01
                                                      :mod (a5 / all))
                                            :ARG2 (t5 / thing
                                                      :ARG2-of (r2 / result-01
                                                                   :ARG1 (t6 / they))
                                                      :ARG1-of (r3 / range-01
                                                                   :ARG3 (v2 / validate-01
                                                                             :topic (p / prove-01
                                                                                       :mod (t7 / theory)))
                                                                   :ARG4 (a6 / and
                                                                             :op1 (p2 / possible-01
                                                                                      :ARG1 (e2 / explain-01))
                                                                             :op2 (t8 / transparency)
                                                                             :op3 (c3 / causality)
                                                                             :op4 (f / fairness)))))))))"
s033,361,"However, the core interest in fairness remains critical to any discussion of basic rights.",The Information Accountability Foundation,"Unified Ethical Frame for Big Data Analysis. IAF Big Data Ethics Initiative, Part A",international organisation > IGO,organisation internationale,https://bigdata.fpf.org/wp-content/uploads/2015/11/IAF-Unified-Ethical-Frame-for-Big-Data-Analysis.pdf,"# ::id s033
# ::doc_id 361
# ::snt However, the core interest in fairness remains critical to any discussion of basic rights.
(c / contrast-01
   :ARG2 (r / remain-01
            :ARG1 (ii / interest-01
                      :ARG2 (f / fairness)
                      :mod (c2 / core))
            :ARG3 (c3 / critical-03
                      :ARG1 ii
                      :ARG2 (d / discuss-01
                               :ARG1 (r2 / right-05
                                         :mod (b / basic))
                               :mod (a / any)))))"
s034,160,How can we understand algorithmic fairness?,European Parliament,A governance framework for algorithmic accountability and transparency,international organisation > EU institution,organisation internationale,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,"# ::id s034
# ::doc_id 160
# ::snt How can we understand algorithmic fairness?
(p / possible-01
   :ARG1 (u / understand-01
            :ARG0 (w / we)
            :ARG1 (f / fairness
                     :mod (a / algorithm))
            :manner (a2 / amr-unknown)))"
s035,418,"Despite growing recognition of the importance of addressing ethical concerns associated with usage of AI, only 19 percent of respondents say their organizations are taking steps to mitigate risks associated with explainability of their algorithms, and 13 percent are mitigating risks to equity and fairness, such as algorithmic bias and discrimination (Figure 4.3.4).","University of Stanford, SRI International, MIT, OpenAI, McKinsey Global Institute, Partnership on AI, Harvard University",AI Index 2019,"academia, private sector",academique,https://hai.stanford.edu/sites/default/files/ai_index_2019_report.pdf,"# ::id s035
# ::doc_id 418
# ::snt Despite growing recognition of the importance of addressing ethical concerns associated with usage of AI, only 19 percent of respondents say their organizations are taking steps to mitigate risks associated with explainability of their algorithms, and 13 percent are mitigating risks to equity and fairness, such as algorithmic bias and discrimination (Figure 4.3.4).
(h / have-concession-91
   :ARG1 (a / and
            :op1 (s / say-01
                    :ARG0 (p / person
                             :ARG1-of (ii / include-91
                                          :ARG2 (p2 / person
                                                    :ARG0-of (r / respond-01))
                                          :ARG3 (p3 / percentage-entity
                                                    :value 19
                                                    :mod (o / only))))
                    :ARG1 (s2 / step-01
                              :ARG1 (o2 / organization
                                        :poss p)
                              :ARG2 (m / mitigate-01
                                       :ARG0 o2
                                       :ARG1 (r2 / risk-01
                                                 :ARG1-of (a2 / associate-01
                                                              :ARG2 (e / explain-01
                                                                       :ARG1 (a3 / algorithm
                                                                                 :poss o2)))))))
            :op2 (m2 / mitigate-01
                     :ARG0 (p4 / person
                               :ARG1-of (ii2 / include-91
                                             :ARG2 p2
                                             :ARG3 (p5 / percentage-entity
                                                       :value 13)))
                     :ARG1 (r3 / risk-01
                               :ARG2 (a4 / and
                                         :op1 (e2 / equity)
                                         :op2 (f / fairness)
                                         :example (a5 / and
                                                      :op1 (b / bias-01
                                                              :mod (a6 / algorithm))
                                                      :op2 (d / discriminate-02))))))
   :ARG2 (r4 / recognize-01
             :ARG1 (ii3 / important-01
                        :ARG1 (a7 / address-02
                                  :ARG1 (c / concern-01
                                           :mod (e3 / ethics)
                                           :ARG1-of (a8 / associate-01
                                                        :ARG2 (u / use-01
                                                                 :ARG1 (ii4 / intelligent-01
                                                                            :mod (a9 / artificial)))))))
             :ARG1-of (g / grow-01)
             :ARG1-of (d2 / describe-01
                          :ARG0 (f2 / figure
                                    :mod ""4.3.4.4""))))"
s036,318,Performance and security Bias and fairness Is your AI fair?,PriceWaterhouseCoopers (PWC),Responsible AI – Maturing from theory to practice,private sector,secteur prive,https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai/pwc-responsible-ai-maturing-from-theory-to-practice.pdf,"# ::id s036
# ::doc_id 318
# ::snt Performance and security Bias and fairness Is your AI fair?
(m / multi-sentence
   :snt1 (a / and
            :op1 (p / perform-02)
            :op2 (b / bias-01
                    :ARG1 (s / security))
            :op3 (f / fair-01))
   :snt2 (f2 / fair-01
             :ARG1 (ii / intelligent-01
                       :mod (a2 / artificial)
                       :poss (y / you))
             :polarity (a3 / amr-unknown)))"
s037,193,"Justice, Fairness, and Accountability A common theme in the Law and Governance, AI for Social Good, and Social and Economic Impac ts workshops was the need to ensure that AI promotes justice and fairness, and that AI -based processes are accountab le to stakeholders .",National Science and Technology Council (US),Preparing the future of AI,national authority,autorite nationale,https://obamawhitehouse.archives.gov/sites/default/files/whitehouse_files/microsites/ostp/NSTC/preparing_for_the_future_of_ai.pdf,"# ::id s037
# ::doc_id 193
# ::snt Justice, Fairness, and Accountability A common theme in the Law and Governance, AI for Social Good, and Social and Economic Impac ts workshops was the need to ensure that AI promotes justice and fairness, and that AI -based processes are accountab le to stakeholders .
(m / multi-sentence
   :snt1 (a / and
            :op1 (j / justice)
            :op2 (f / fairness)
            :op3 (a2 / accountable-02))
   :snt2 (t / theme
            :mod (c / common)
            :domain (n / need-01
                       :ARG1 (e / ensure-01
                                :ARG1 (a3 / and
                                          :op1 (p / promote-02
                                                  :ARG0 (ii / intelligent-01
                                                            :mod (a4 / artificial))
                                                  :ARG1 (a5 / and
                                                            :op1 (j2 / justice)
                                                            :op2 (f2 / fairness)))
                                          :op2 (a6 / account-01
                                                   :ARG0 (p2 / process-02
                                                             :ARG1-of (b / base-02
                                                                         :ARG2 ii))
                                                   :ARG2 (s / stake-01)))))
            :location (a7 / and
                          :op1 (a8 / and
                                   :op1 (l / law)
                                   :op2 (g / govern-01))
                          :op2 (p3 / program
                                   :name (n2 / name
                                             :op1 ""AI""
                                             :op2 ""for""
                                             :op3 ""Social""
                                             :op4 ""Good""))
                          :op3 (c2 / conference
                                   :name n2
                                   :op1 ""Social""
                                   :op2 ""Economic""
                                   :op3 ""Impac""
                                   :op4 ""Talks""))))"
s038,351,"For more detailed information about the specific meanings of transparency, accountability, and fairness as data protection principles in the context of the GDPR and the DPA 2018, please refer to the Guide to Data Protection produced by the Information Commissioner’s Office.",The Alan Turing Institute,Understanding Artificial Intelligence and Safety - A guide for the responsible design and implementation of AI systems in the public sector,"national authority, academia",autorite nationale,https://www.turing.ac.uk/sites/default/files/2019-06/understanding_artificial_intelligence_ethics_and_safety.pdf,"# ::id s038
# ::doc_id 351
# ::snt For more detailed information about the specific meanings of transparency, accountability, and fairness as data protection principles in the context of the GDPR and the DPA 2018, please refer to the Guide to Data Protection produced by the Information Commissioner’s Office.
(r / refer-03
   :mode imperative
   :polite +
   :ARG0 (y / you)
   :ARG1 (p / publication
            :name (n / name
                     :op1 ""Guide""
                     :op2 ""to""
                     :op3 ""Data""
                     :op4 ""Protection"")
            :ARG1-of (p2 / produce-01
                         :ARG0 (o / organization
                                  :name (n2 / name
                                            :op1 ""Information""
                                            :op2 ""Commissioner's""
                                            :op3 ""Office""))))
   :purpose (ii / information
                :ARG1-of (d / detail-01)
                :topic (m / mean-01
                          :ARG1 (p3 / principle
                                    :topic (p4 / protect-01
                                               :ARG1 (d2 / data)))
                          :ARG2 (a / and
                                   :op1 (t / transparency)
                                   :op2 (a2 / accountable-02)
                                   :op3 (f / fairness))
                          :ARG1-of (s / specific-02))
                :location (c / context
                             :op1 (a3 / and
                                      :op1 (o2 / organization
                                               :name (n3 / name
                                                         :op1 ""GDPR""))
                                      :op2 (o3 / organization
                                               :name (n4 / name
                                                         :op1 ""DPA"")
                                               :time (d3 / date-entity
                                                         :year 2018))))
                :ARG1-of (h / have-quant-91
                            :ARG3 (m2 / more))))"
s039,199,"Many other subsequent questions that result from this – for example, what fairness means in the context of the application or what effects on the user, such as emotional ties to the AI, are acceptable – cannot be answered from a technological perspective alone, but instead require a holistic approach again.If the general permissibility of the AI application has been ensured, interdisciplinary questions also result for the further development up to release, e.g.",Fraunhofer Institute for Intelligent Analysis and Information Systems IAIS ,Trustworthy Use of Artifical Intelligence,private sector,secteur prive,https://www.ki.nrw/wp-content/uploads/2020/03/Whitepaper_Thrustworthy_AI.pdf,"# ::id s039
# ::doc_id 199
# ::snt Many other subsequent questions that result from this – for example, what fairness means in the context of the application or what effects on the user, such as emotional ties to the AI, are acceptable – cannot be answered from a technological perspective alone, but instead require a holistic approach again.If the general permissibility of the AI application has been ensured, interdisciplinary questions also result for the further development up to release, e.g.
(h / have-condition-91
   :ARG1 (p / possible-01
            :polarity -
            :ARG1 (a / answer-01
                     :ARG1 (q / question-01
                              :ARG1 (o / or
                                       :op1 (t / thing
                                               :ARG2-of (m / mean-01
                                                           :ARG1 (f / fairness)
                                                           :manner (c / context
                                                                      :mod (a2 / apply-02))))
                                       :op2 (t2 / thing
                                                :ARG2-of (a3 / affect-01
                                                             :ARG1 (p2 / person
                                                                       :ARG0-of (u / use-01)))
                                                :example (t3 / tie-01
                                                             :ARG1 (e / emotion)
                                                             :ARG2 (ii / intelligent-01
                                                                       :mod (a4 / artificial))))
                                       :ARG1-of (a5 / accept-01
                                                    :ARG1-of p)))
                     :mod (o2 / other)
                     :quant (m2 / many)
                     :ARG2-of (r / result-01
                                 :ARG1 (t4 / this)))
            :manner (p3 / perspective
                        :mod (t5 / technology)
                        :mod (a6 / alone))
            :ARG1-of (c2 / contrast-01
                         :ARG2 (r2 / require-01
                                   :ARG1 (a7 / approach-02
                                             :mod (h2 / holistic))
                                   :mod (a8 / again))))
   :ARG2 (e2 / ensure-01
             :ARG1 (p4 / permit-01
                       :ARG1 (a9 / apply-02
                                 :ARG1 ii
                                 :ARG1-of (g / general-02))))
   :ARG2 r
   :ARG1 (q2 / question-01
             :mod (ii2 / interdisciplinary))
   :ARG2 (d / develop-02
            :mod (f2 / further)
            :time (u2 / up-to
                      :op1 (r3 / release-01)))
   :mod (a10 / also))"
s040,52,"Algorithmic decision-making will inevitably increase over time; the aim should be to ensure that this happens in a way that acts to challenge bias, increase fairness and promote equality, rather than entrenching existing problems.",Centre for Data Ethics and Innovation,Review into Bias in Algorithmic Decision-making,national authority,autorite nationale,https://assets.publishing.service.gov.uk/media/60142096d3bf7f70ba377b20/Review_into_bias_in_algorithmic_decision-making.pdf,"# ::id s040
# ::doc_id 52
# ::snt Algorithmic decision-making will inevitably increase over time; the aim should be to ensure that this happens in a way that acts to challenge bias, increase fairness and promote equality, rather than entrenching existing problems.
(m / multi-sentence
   :snt1 (ii / increase-01
             :ARG1 (m2 / make-01
                       :ARG0 (a / algorithm)
                       :ARG1 (d / decide-01))
             :ARG1-of (a2 / avoid-01
                          :ARG1-of (p / possible-01
                                      :polarity -))
             :mod (o / over-time))
   :snt2 (r / recommend-01
            :ARG1 (e / ensure-01
                     :ARG1 (ii2 / increase-01
                                :ARG1 (t / this)
                                :manner (a3 / act-02
                                            :ARG0 t
                                            :ARG1 (a4 / and
                                                      :op1 (c / challenge-01
                                                              :ARG0 t
                                                              :ARG1 (b / bias-01))
                                                      :op2 (ii3 / increase-01
                                                                :ARG1 (f / fairness))
                                                      :op3 (p2 / promote-02
                                                               :ARG0 t
                                                               :ARG1 (e2 / equal-01)))
                                            :ARG1-of (ii4 / instead-of-91
                                                          :ARG2 (e3 / entrench-01
                                                                    :ARG0 t
                                                                    :ARG1 (p3 / problem
                                                                              :ARG1-of (e4 / exist-01)))))))))"
s041,52,Bias mitigation methods by stage of intervention and notion of fairness are shown in Appendix A.,Centre for Data Ethics and Innovation,Review into Bias in Algorithmic Decision-making,national authority,autorite nationale,https://assets.publishing.service.gov.uk/media/60142096d3bf7f70ba377b20/Review_into_bias_in_algorithmic_decision-making.pdf,"# ::id s041
# ::doc_id 52
# ::snt Bias mitigation methods by stage of intervention and notion of fairness are shown in Appendix A.
(s / show-01
   :ARG1 (a / and
            :op1 (m / method
                    :instrument-of (m2 / mitigate-01
                                       :ARG1 (b / bias-01))
                    :manner (s2 / stage
                                :subevent-of (ii / intervene-01)))
            :op2 (n / notion
                    :topic (f / fair-01)))
   :location (a2 / appendix
                 :mod ""A""))"
s042,376,"Since 2014, the Fairness, Accountability, and Transparency in Machine Learning (FATML, 2014) workshop series (originally organized by S.",Thomson Reuters,Ethical by Design: Ethics Best Practices for Natural Language Processing,private sector,secteur prive,https://aclanthology.org/W17-1604.pdf,"# ::id s042
# ::doc_id 376
# ::snt Since 2014, the Fairness, Accountability, and Transparency in Machine Learning (FATML, 2014) workshop series (originally organized by S.
(s / series
   :name (n / name
            :op1 ""Fairness,""
            :op2 ""Accountability""
            :op3 ""and""
            :op4 ""Transparency""
            :op5 ""in""
            :op6 ""Machine""
            :op7 ""Learning"")
   :time (s2 / since
             :op1 (d / date-entity
                     :year 2014))
   :mod (w / workshop)
   :ARG1-of (o / organize-01
               :ARG0 (p / person
                        :name (n2 / name
                                  :op1 ""S.""))
               :manner (o2 / original))
   :time (d2 / date-entity
             :year 2014))"
s043,351,When worlds collide: Integrating different counterfactual assumptio ns in fairness.,The Alan Turing Institute,Understanding Artificial Intelligence and Safety - A guide for the responsible design and implementation of AI systems in the public sector,"national authority, academia",autorite nationale,https://www.turing.ac.uk/sites/default/files/2019-06/understanding_artificial_intelligence_ethics_and_safety.pdf,"# ::id s043
# ::doc_id 351
# ::snt When worlds collide: Integrating different counterfactual assumptio ns in fairness.
(m / multi-sentence
   :snt1 (b / be-temporally-at-91
            :ARG2 (c / collide-01
                     :ARG0 (w / world)))
   :snt2 (ii / integrate-01
             :ARG1 (a / assume-02
                      :mod (c2 / counterfactual)
                      :ARG1-of (d / differ-02))
             :manner (f / fairness)))"
s044,154,"Diversity, non -discrimination and fairness; 6.","European Commission, European Investment Bank","Artificial intelligence, blockchain and the future of Europe: How disruptive technologies create opportunities for a green and digital economy",international organisation > EU institution,organisation internationale,https://www.eib.org/attachments/thematic/artificial_intelligence_blockchain_and_the_future_of_europe_report_en.pdf,"# ::id s044
# ::doc_id 154
# ::snt Diversity, non -discrimination and fairness; 6.
(a / and
   :li 6
   :op1 (d / diversity)
   :op2 (d2 / discriminate-01
            :polarity -)
   :op3 (f / fair-01))"
s045,160,"Access, fairness and accountability in the law of search ', Cornell Law Review, Vol.",European Parliament,A governance framework for algorithmic accountability and transparency,international organisation > EU institution,organisation internationale,http://www.europarl.europa.eu/RegData/etudes/STUD/2019/624262/EPRS_STU(2019)624262_EN.pdf,"# ::id s045
# ::doc_id 160
# ::snt Access, fairness and accountability in the law of search ', Cornell Law Review, Vol.
(p / publication-91
   :ARG4 (j / journal
            :name (n / name
                     :op1 ""Cornell""
                     :op2 ""Law""
                     :op3 ""Review"")
            :mod (v / vol))
   :ARG7 (a / and
            :op1 (a2 / access-01)
            :op2 (f / fairness)
            :op3 (a3 / accountable-02)
            :topic (l / law
                      :topic (s / search-01))))"
